Start Date,End Date,Duration
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days]
1996-09-04 00:00:00,1996-09-06 00:00:00,3
1996-09-08 00:00:00,1996-09-09 00:00:00,2
1996-09-11 00:00:00,1996-09-12 00:00:00,2
1996-09-14 00:00:00,1996-09-18 00:00:00,5
1996-09-25 00:00:00,1996-09-25 00:00:00,1
1996-09-27 00:00:00,1996-09-27 00:00:00,1
1996-10-03 00:00:00,1996-10-04 00:00:00,2
1996-10-11 00:00:00,1996-10-12 00:00:00,2
1996-10-22 00:00:00,1996-10-22 00:00:00,1
1996-10-29 00:00:00,1996-10-29 00:00:00,1
1996-11-13 00:00:00,1996-11-16 00:00:00,4
1996-11-26 00:00:00,1996-11-28 00:00:00,3
1996-12-01 00:00:00,1996-12-01 00:00:00,1
1996-12-17 00:00:00,1996-12-17 00:00:00,1
1996-12-29 00:00:00,1996-12-29 00:00:00,1
1997-01-16 00:00:00,1997-01-17 00:00:00,2
1997-02-04 00:00:00,1997-02-04 00:00:00,1
1997-02-06 00:00:00,1997-02-07 00:00:00,2
1997-02-22 00:00:00,1997-02-23 00:00:00,2
1997-03-01 00:00:00,1997-03-03 00:00:00,3
1997-03-16 00:00:00,1997-03-18 00:00:00,3
1997-03-20 00:00:00,1997-03-21 00:00:00,2
1997-04-23 00:00:00,1997-04-23 00:00:00,1
1997-05-10 00:00:00,1997-05-12 00:00:00,3
1997-05-20 00:00:00,1997-05-21 00:00:00,2
1997-05-27 00:00:00,1997-05-27 00:00:00,1
1997-06-09 00:00:00,1997-06-09 00:00:00,1
1997-06-27 00:00:00,1997-06-27 00:00:00,1
1997-07-01 00:00:00,1997-07-01 00:00:00,1
1997-07-04 00:00:00,1997-07-04 00:00:00,1
1997-07-10 00:00:00,1997-07-10 00:00:00,1
1997-07-18 00:00:00,1997-07-19 00:00:00,2
1997-08-02 00:00:00,1997-08-02 00:00:00,1
1997-08-13 00:00:00,1997-08-13 00:00:00,1
1997-08-15 00:00:00,1997-08-17 00:00:00,3
1997-08-19 00:00:00,1997-08-19 00:00:00,1
1997-08-21 00:00:00,1997-08-21 00:00:00,1
1997-08-25 00:00:00,1997-08-30 00:00:00,6
1997-09-07 00:00:00,1997-09-07 00:00:00,1
1997-09-17 00:00:00,1997-09-17 00:00:00,1
1997-10-01 00:00:00,1997-10-05 00:00:00,5
1997-10-15 00:00:00,1997-10-15 00:00:00,1
1997-10-18 00:00:00,1997-10-19 00:00:00,2
