Start Date,End Date,Duration
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days]
1992-05-16 00:00:00,1992-05-16 00:00:00,1
1992-05-23 00:00:00,1992-05-29 00:00:00,7
1992-06-05 00:00:00,1992-06-06 00:00:00,2
1992-06-08 00:00:00,1992-06-08 00:00:00,1
1992-06-11 00:00:00,1992-06-14 00:00:00,4
1992-06-18 00:00:00,1992-06-21 00:00:00,4
1992-06-26 00:00:00,1992-06-29 00:00:00,4
1992-07-08 00:00:00,1992-07-08 00:00:00,1
1992-07-10 00:00:00,1992-07-13 00:00:00,4
1992-07-15 00:00:00,1992-07-15 00:00:00,1
1992-07-22 00:00:00,1992-07-22 00:00:00,1
1992-07-25 00:00:00,1992-07-25 00:00:00,1
1992-08-05 00:00:00,1992-08-05 00:00:00,1
1992-08-12 00:00:00,1992-08-16 00:00:00,5
1992-08-18 00:00:00,1992-08-22 00:00:00,5
1992-08-25 00:00:00,1992-08-26 00:00:00,2
1992-08-28 00:00:00,1992-08-29 00:00:00,2
1992-09-05 00:00:00,1992-09-06 00:00:00,2
1992-09-12 00:00:00,1992-09-14 00:00:00,3
1992-09-17 00:00:00,1992-09-17 00:00:00,1
1992-09-19 00:00:00,1992-09-21 00:00:00,3
1992-09-23 00:00:00,1992-09-24 00:00:00,2
1992-09-27 00:00:00,1992-09-28 00:00:00,2
1992-10-01 00:00:00,1992-10-03 00:00:00,3
1992-10-06 00:00:00,1992-10-09 00:00:00,4
1992-10-11 00:00:00,1992-10-18 00:00:00,8
1992-10-22 00:00:00,1992-10-22 00:00:00,1
1992-10-24 00:00:00,1992-10-24 00:00:00,1
1992-10-26 00:00:00,1992-10-26 00:00:00,1
1992-11-03 00:00:00,1992-11-03 00:00:00,1
1992-11-08 00:00:00,1992-11-09 00:00:00,2
1992-11-11 00:00:00,1992-11-14 00:00:00,4
1992-11-23 00:00:00,1992-11-23 00:00:00,1
1992-11-27 00:00:00,1992-11-28 00:00:00,2
1992-12-02 00:00:00,1992-12-02 00:00:00,1
1992-12-12 00:00:00,1992-12-14 00:00:00,3
1992-12-23 00:00:00,1992-12-23 00:00:00,1
1992-12-29 00:00:00,1992-12-30 00:00:00,2
1993-01-01 00:00:00,1993-01-03 00:00:00,3
1993-01-15 00:00:00,1993-01-16 00:00:00,2
1993-01-20 00:00:00,1993-01-24 00:00:00,5
1993-01-28 00:00:00,1993-01-29 00:00:00,2
1993-02-03 00:00:00,1993-02-04 00:00:00,2
1993-02-12 00:00:00,1993-02-12 00:00:00,1
1993-03-03 00:00:00,1993-03-03 00:00:00,1
1993-03-22 00:00:00,1993-03-22 00:00:00,1
1993-03-26 00:00:00,1993-03-26 00:00:00,1
1993-03-31 00:00:00,1993-04-08 00:00:00,9
1993-04-14 00:00:00,1993-04-14 00:00:00,1
1993-04-19 00:00:00,1993-04-19 00:00:00,1
1993-04-21 00:00:00,1993-04-22 00:00:00,2
1993-04-24 00:00:00,1993-04-26 00:00:00,3
1993-04-28 00:00:00,1993-04-28 00:00:00,1
1993-05-02 00:00:00,1993-05-02 00:00:00,1
1993-05-04 00:00:00,1993-05-08 00:00:00,5
1993-05-12 00:00:00,1993-05-12 00:00:00,1
1993-05-16 00:00:00,1993-05-16 00:00:00,1
1993-05-19 00:00:00,1993-05-19 00:00:00,1
1993-05-26 00:00:00,1993-05-26 00:00:00,1
1993-06-05 00:00:00,1993-06-05 00:00:00,1
1993-06-09 00:00:00,1993-06-09 00:00:00,1
1993-06-14 00:00:00,1993-06-15 00:00:00,2
1993-06-17 00:00:00,1993-06-17 00:00:00,1
1993-06-19 00:00:00,1993-06-28 00:00:00,10
1993-07-04 00:00:00,1993-07-04 00:00:00,1
1993-07-16 00:00:00,1993-07-17 00:00:00,2
1993-07-31 00:00:00,1993-08-01 00:00:00,2
1993-08-03 00:00:00,1993-08-24 00:00:00,22
1993-09-05 00:00:00,1993-09-06 00:00:00,2
1993-09-11 00:00:00,1993-09-12 00:00:00,2
1993-09-16 00:00:00,1993-09-16 00:00:00,1
1993-09-18 00:00:00,1993-09-22 00:00:00,5
1993-09-26 00:00:00,1993-09-26 00:00:00,1
1993-09-28 00:00:00,1993-09-30 00:00:00,3
1993-10-02 00:00:00,1993-10-04 00:00:00,3
1993-10-07 00:00:00,1993-10-11 00:00:00,5
1993-10-22 00:00:00,1993-10-22 00:00:00,1
1993-10-27 00:00:00,1993-10-27 00:00:00,1
1993-11-04 00:00:00,1993-11-06 00:00:00,3
1993-11-17 00:00:00,1993-11-20 00:00:00,4
1993-11-28 00:00:00,1993-12-02 00:00:00,5
1993-12-04 00:00:00,1993-12-04 00:00:00,1
1993-12-15 00:00:00,1993-12-15 00:00:00,1
1993-12-19 00:00:00,1993-12-21 00:00:00,3
1993-12-28 00:00:00,1993-12-29 00:00:00,2
1993-12-31 00:00:00,1994-01-07 00:00:00,8
1994-01-24 00:00:00,1994-01-24 00:00:00,1
1994-02-17 00:00:00,1994-02-17 00:00:00,1
1994-02-23 00:00:00,1994-02-24 00:00:00,2
1994-02-26 00:00:00,1994-02-26 00:00:00,1
1994-03-12 00:00:00,1994-03-12 00:00:00,1
1994-03-14 00:00:00,1994-03-15 00:00:00,2
1994-03-17 00:00:00,1994-03-20 00:00:00,4
1994-04-03 00:00:00,1994-04-03 00:00:00,1
1994-04-09 00:00:00,1994-04-09 00:00:00,1
1994-04-13 00:00:00,1994-04-15 00:00:00,3
1994-05-08 00:00:00,1994-05-08 00:00:00,1
1994-05-10 00:00:00,1994-05-10 00:00:00,1
1994-05-13 00:00:00,1994-05-21 00:00:00,9
1994-05-23 00:00:00,1994-05-29 00:00:00,7
1994-06-11 00:00:00,1994-06-14 00:00:00,4
